Learning Rate,Weight Decay,Run,Transfer Epochs,FineTune Epochs,Loss,Acc
0.0025,0.025,run_0,87,9,1.3260287046432495,0.47999998927116394
0.0025,0.025,run_1,119,6,1.3539903163909912,0.5600000023841858
0.0025,0.025,run_2,18,5,1.5406616926193237,0.5416666865348816
0.0025,0.025,run_3,30,6,0.9286587834358215,0.5833333134651184
0.0025,0.025,run_4,71,1,1.28599214553833,0.5833333134651184
0.0025,0.025,run_5,35,3,1.1445496082305908,0.625
0.0025,0.025,run_6,96,5,0.8425576090812683,0.75
0.0025,0.025,run_7,62,16,1.2615894079208374,0.4583333432674408
0.0025,0.025,run_8,20,6,1.6844496726989746,0.6666666865348816
0.0025,0.025,run_9,39,6,1.381421685218811,0.5
0.0025,0.075,run_0,140,5,1.1280661821365356,0.5600000023841858
0.0025,0.075,run_1,81,2,0.9904495477676392,0.8399999737739563
0.0025,0.075,run_2,99,23,1.195497751235962,0.5416666865348816
0.0025,0.075,run_3,17,2,1.9412903785705566,0.4583333432674408
0.0025,0.075,run_4,3,30,1.2016040086746216,0.5
0.0025,0.075,run_5,106,1,0.8196951746940613,0.7083333134651184
0.0025,0.075,run_6,6,7,1.3259363174438477,0.4583333432674408
0.0025,0.075,run_7,36,4,1.5219286680221558,0.3333333432674408
0.0025,0.075,run_8,84,6,1.0214937925338745,0.5833333134651184
0.0025,0.075,run_9,72,5,1.1367175579071045,0.5416666865348816
0.0025,0.0075,run_0,5,5,1.494634747505188,0.5199999809265137
0.0025,0.0075,run_1,78,5,1.041275143623352,0.7200000286102295
0.0025,0.0075,run_2,48,13,1.2930036783218384,0.4583333432674408
0.0025,0.0075,run_3,147,5,1.118391990661621,0.5416666865348816
0.0025,0.0075,run_4,5,2,1.29703950881958,0.4583333432674408
0.0025,0.0075,run_5,106,18,1.2644712924957275,0.5
0.0025,0.0075,run_6,26,5,0.7620996832847595,0.5833333134651184
0.0025,0.0075,run_7,24,5,1.3738179206848145,0.4583333432674408
0.0025,0.0075,run_8,71,3,1.0882844924926758,0.4583333432674408
0.0025,0.0075,run_9,23,45,1.594915747642517,0.4583333432674408
0.0075,0.025,run_0,27,5,0.8777743577957153,0.6800000071525574
0.0075,0.025,run_1,10,5,1.1742208003997803,0.5199999809265137
0.0075,0.025,run_2,37,6,1.425045371055603,0.5
0.0075,0.025,run_3,35,2,1.2026805877685547,0.5416666865348816
0.0075,0.025,run_4,40,5,1.0108903646469116,0.5833333134651184
0.0075,0.025,run_5,43,8,1.2079856395721436,0.4583333432674408
0.0075,0.025,run_6,33,3,1.1768646240234375,0.6666666865348816
0.0075,0.025,run_7,38,2,1.1311829090118408,0.5416666865348816
0.0075,0.025,run_8,21,2,1.202176570892334,0.5833333134651184
0.0075,0.025,run_9,48,8,1.0168792009353638,0.625
0.0075,0.075,run_0,36,3,0.9929683208465576,0.6800000071525574
0.0075,0.075,run_1,43,5,1.198566198348999,0.5600000023841858
0.0075,0.075,run_2,73,6,1.3692234754562378,0.5416666865348816
0.0075,0.075,run_3,16,5,0.9736058115959167,0.5833333134651184
0.0075,0.075,run_4,46,6,1.0344635248184204,0.6666666865348816
0.0075,0.075,run_5,48,8,1.3967007398605347,0.4583333432674408
0.0075,0.075,run_6,43,5,1.1228601932525635,0.625
0.0075,0.075,run_7,36,1,0.9663904309272766,0.75
0.0075,0.075,run_8,7,7,1.3101904392242432,0.5416666865348816
0.0075,0.075,run_9,19,7,1.2412912845611572,0.5416666865348816
0.0075,0.0075,run_0,21,1,1.3269230127334595,0.47999998927116394
0.0075,0.0075,run_1,61,5,1.2169042825698853,0.6800000071525574
0.0075,0.0075,run_2,47,1,1.1437171697616577,0.5833333134651184
0.0075,0.0075,run_3,32,7,0.8883423209190369,0.7916666865348816
0.0075,0.0075,run_4,7,5,1.161088466644287,0.5
0.0075,0.0075,run_5,57,5,1.348681926727295,0.375
0.0075,0.0075,run_6,5,5,1.297035574913025,0.5416666865348816
0.0075,0.0075,run_7,40,6,1.0998711585998535,0.5833333134651184
0.0075,0.0075,run_8,46,10,1.2428524494171143,0.5
0.0075,0.0075,run_9,34,8,1.0040761232376099,0.625
0.01,0.025,run_0,7,6,1.4093812704086304,0.47999998927116394
0.01,0.025,run_1,24,5,1.04214608669281,0.7599999904632568
0.01,0.025,run_2,18,8,0.9418159127235413,0.5833333134651184
0.01,0.025,run_3,32,8,1.305887222290039,0.4583333432674408
0.01,0.025,run_4,21,6,1.2385244369506836,0.7083333134651184
0.01,0.025,run_5,28,13,1.244894027709961,0.5416666865348816
0.01,0.025,run_6,36,5,1.3135924339294434,0.375
0.01,0.025,run_7,27,5,0.8709561228752136,0.7916666865348816
0.01,0.025,run_8,17,12,1.4670251607894897,0.4583333432674408
0.01,0.025,run_9,29,4,1.175392508506775,0.6666666865348816
0.01,0.075,run_0,6,1,1.1074097156524658,0.6000000238418579
0.01,0.075,run_1,35,5,1.3909825086593628,0.6000000238418579
0.01,0.075,run_2,27,6,1.2266170978546143,0.6666666865348816
0.01,0.075,run_3,38,14,1.2136489152908325,0.625
0.01,0.075,run_4,24,1,1.1689298152923584,0.5833333134651184
0.01,0.075,run_5,23,3,1.1841857433319092,0.5
0.01,0.075,run_6,25,9,1.1847047805786133,0.5416666865348816
0.01,0.075,run_7,8,1,1.1134722232818604,0.5833333134651184
0.01,0.075,run_8,26,5,1.0659725666046143,0.625
